Notes,Vehicle,Master Cust Num,Master Cust Name,Cust Num,Cust Name,Customer Vehicle ID**,Maint Cost Code,Driver Last**,Driver First**,VIN,Year,Make,Model,Series,License State,License Num,License Exp. Date,Delivery Date,Fleet Vehicle Status,Fleet Vehicle Status Description,Lease Type,Lease Term,Months In Service*,Lease End Date,Contract Mileage,Delivered Price,Dep Pct,Dep Amt/Mo,Total Lease Charge/Mo,Use Tax Amt/Mo,Full Maint Rate/Mo,Total Rent/Mo,License and Tax*,Service Charge,Current RBV*,Calculated Mileage,Calculated Mileage Date,Entered Mileage**,Entered Mileage Date**,Estimated Current Odometer,Garage Street Address 1,Garage City,Garage State ,Garage County Name,Garage Postal Code,Garage Country,Pooled Vehicle**
,27L001,999999,PDI Fleet,999999,PDI Fleet,VA001,VA001,,,VINLIVE00000000001,2024,Subaru,Impreza,,VA,PLT0001,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L002,999999,PDI Fleet,999999,PDI Fleet,VA002,VA002,,,VINLIVE00000000002,2024,Subaru,Impreza,,VA,PLT0002,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L003,999999,PDI Fleet,999999,PDI Fleet,VA003,VA003,,,VINLIVE00000000003,2024,Subaru,Impreza,,VA,PLT0003,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L004,999999,PDI Fleet,999999,PDI Fleet,VA004,VA004,,,VINLIVE00000000004,2024,Subaru,Impreza,,VA,PLT0004,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L005,999999,PDI Fleet,999999,PDI Fleet,VA005,VA005,,,VINLIVE00000000005,2024,Subaru,Impreza,,VA,PLT0005,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L006,999999,PDI Fleet,999999,PDI Fleet,VA006,VA006,,,VINLIVE00000000006,2024,Subaru,Impreza,,VA,PLT0006,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L007,999999,PDI Fleet,999999,PDI Fleet,VA007,VA007,,,VINLIVE00000000007,2024,Subaru,Impreza,,VA,PLT0007,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L008,999999,PDI Fleet,999999,PDI Fleet,VA008,VA008,,,VINLIVE00000000008,2024,Subaru,Impreza,,VA,PLT0008,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L009,999999,PDI Fleet,999999,PDI Fleet,VA009,VA009,,,VINLIVE00000000009,2024,Subaru,Impreza,,VA,PLT0009,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L010,999999,PDI Fleet,999999,PDI Fleet,VA010,VA010,,,VINLIVE00000000010,2024,Subaru,Impreza,,VA,PLT0010,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L011,999999,PDI Fleet,999999,PDI Fleet,VA011,VA011,,,VINLIVE00000000011,2024,Subaru,Impreza,,VA,PLT0011,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L012,999999,PDI Fleet,999999,PDI Fleet,VA012,VA012,,,VINLIVE00000000012,2024,Subaru,Impreza,,VA,PLT0012,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
,27L013,999999,PDI Fleet,999999,PDI Fleet,VA013,VA013,,,VINLIVE00000000013,2024,Subaru,Impreza,,VA,PLT0013,01/01/2027,01/01/2024,LV,Leased Vehicle,OL,48,20,-,0,0,0,0,0,0,0,0,0,0,0,100000,09/02/2026,100000,09/02/2026,100000,,,,,,USA,N
